id,condition,text,cX_archeo1,cX_archeo2,cX_archeo3,cX_archeo4,cX_archeo5,cX_archeo6,cX_archeo7,cX_archeo8,cX_entom1,cX_entom2,cX_entom3,cX_entom4,cX_entom5,cX_entom6,cX_entom7
148,entom,"Entomology is study of intersects, and Entomologist are the people who do it.  An entomologist have studied visualization of flies, they have done this by attaching electrodes to the insects eyes, they have identified that a flies can receive images with 3 milliseconds - amazing...  Like another Entomologist has been working with crickets and measuring sound/movement sound of hairs via a complex dopler measurement mechanism which can identify air movement of a single insect hair faster than a single proton - again a very amazing thing....",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,entom,Entomologists are scientists who study insects and some have specialized in understanding how insects see the world. For instance scientists interested in how flies see have used special displays to show images and examined their eyes with electrone microscopes.  Other entomologists have shown that cricket hair found on their antenna are the most sensitive organs in the whole animal kingdom.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,entom,The entomologists have discovered ways insects perceive the world around them.  With flies they are interested in learning how visual perception works and present images to see how the brain reacts to the images. They use microscopes to examine the eyes and with these techniques they can tell that the fly can see the images in 3 milliseconds.   With crickets entomologists have studied the hairs on a cricket and found that they are the most sensitive organs in the entire animal kingdom   I’m not sure I remember much else,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,entom,Entomologists are scientists who study insects. They have specialized in finding out how insects perceive the world. They are interested in how flies visual perception works by using special displays to show images for a very small amount of time like milliseconds. This has shown flies perceive images in less than 3 millionseconds which is around 10 times smaller than a single movie frame.  They also have studied the hair of crickets and have found microscopic hairs on the antenna at the back of the cricket which could be the most sensitive things in the animal kingdom. They used lasers to see how the hairs ract to stimuli. They found these hairs could reacts to very small changes in motion.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,entom,Flies can see things 10 times quicker than the human eye and crickets have antenna like things on them which are they susceptible to sound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,entom,"Entomologists study insects, some have specialised in how insects perceive and interact with the world around them. Some have created special displays to measure how flies see things and have established that some flies can see images that are displayed for 10 times shorter than movie images (24 frames per second). Other entomologists have studied the hairs that are on the back of crickets and established that they may be the most sensitive organs in the animal kingdom. The hairs are capable of detecting movement that is less than the equivalent of a light photon's energy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,entom,"Entomologists study the world of insects. There have been some amazing discoveries recently, including the fact that flies have even faster visual perception than previously thought. They can perceive and react to images which are much faster than a single screenshot.   In addition, entomologists have found that one element of a cricket’s eye is one of the most finely-tuned and microscopic structures in the animal kingdom and it can perceive tiny particle movements in the air that are imperceptible to humans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,entom,"Studies into flies and their sight show that they can see, and process images much quicker than ever imagined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,entom,"Entomologists are scientists who study insects. They have discovered some interesting abilities of crickets and flies. in their discovery, flies can perceive images displayed for just 3 milliseconds by use of special techniques. When it comes to Crickets, they have discovered that their microscopic hair is highly sensitive and can detect changes in air motion.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,entom,Entomologists are scientists who study insects. They are interested in flies and they study how they can perceive images a lot better than humans can. They have also studied the hair of crickets. Crickets have microscopic hairs on an organ at their rear and this organ is likely to be the most sensitive organ of all animals. They use very precise techniques to study insects as a lot of what they study are microscopic.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,entom,"Entomologists are scientists who study insect To, I found this quite fascinating as never heard of this before They look into flies and through their cells and the brain reacts and to look and examine their eyes They also study crickets , they can also look into hairs on the crickets that shows the hairs and they are the most sensitive organ in the United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,entom,"An entomologist is a scientist who studies insects. Some entomologists have recently made discoveries about the abilities of flies and crickets.  Entomologists have been researching and experimenting to gain an understanding of the visual perception of a fly. They have been recording how the brain of the fly reacts when being presented with visual images. They discovered that flies can identify an image when they have looked at it for only three milliseconds. This is a much shorter time frame than a human would need.   Entomologists have also studied crickets. Specifically, the hair on the back of a crickets leg. They have discovered that the hair is more sensitive than any other organ in every animal on earth. The scientists discovered this by detecting movements of the hair to see it's reactions to changes in the air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,entom,"Entomologists were focusing on flies' visual perception using special displays, electrodes and microscopic data to examine their eyes. The results show that flies can percieve images that are displayed for a short period of time. Also, entomologists were looking at microscopic cricket hairs which can be found on certain organs attached to the rear of the crickets. They were testing how the hairs react to external environmental stimuli such as velocimetry. They proved that the crickets' hair does in fact respond to the environment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
